BlockNumber,BlobLengths
19772777,6
19772778,0
19772779,6
19772780,1
19772781,1
19772782,0
19772783,1
19772784,0
19772785,0
19772786,0
19772787,0
19772788,6
19772789,0
19772790,1
19772791,0
19772792,0
19772793,0
19772794,0
19772795,"1, 1"
19772796,0
19772797,0
19772798,6
19772799,0
19772800,0
19772801,6
19772802,0
19772803,"1, 1"
19772804,0
19772805,0
19772806,0
19772807,0
19772808,6
19772809,1
19772810,0
19772811,0
19772812,0
19772813,0
19772814,0
19772815,6
19772816,2
19772817,0
19772818,0
19772819,0
19772820,0
19772821,1
19772822,1
19772823,0
19772824,0
19772825,0
19772826,1
19772827,0
19772828,0
19772829,6
19772830,6
19772831,0
19772832,1
19772833,6
19772834,0
19772835,1
19772836,1
19772837,1
19772838,0
19772839,6
19772840,1
19772841,0
19772842,0
19772843,0
19772844,0
19772845,0
19772846,0
19772847,6
19772848,0
19772849,0
19772850,0
19772851,0
19772852,0
19772853,6
19772854,0
19772855,2
19772856,0
19772857,0
19772858,0
19772859,0
19772860,0
19772861,1
19772862,0
19772863,0
19772864,1
19772865,0
19772866,6
19772867,0
19772868,6
19772869,0
19772870,6
19772871,0
19772872,0
19772873,0
19772874,"1, 1"
19772875,0
19772876,0
19772877,"1, 1"
19772878,"1, 1"
19772879,0
19772880,0
19772881,6
19772882,0
19772883,0
19772884,0
19772885,0
19772886,1
19772887,0
19772888,0
19772889,6
19772890,1
19772891,0
19772892,0
19772893,0
19772894,6
19772895,2
19772896,0
19772897,0
19772898,"1, 1"
19772899,0
19772900,0
19772901,0
19772902,0
19772903,6
19772904,0
19772905,6
19772906,0
19772907,0
19772908,6
19772909,1
19772910,0
19772911,0
19772912,0
19772913,0
19772914,0
19772915,0
19772916,0
19772917,0
19772918,0
19772919,1
19772920,6
19772921,0
19772922,1
19772923,0
19772924,0
19772925,0
19772926,6
19772927,"1, 1"
19772928,0
19772929,6
19772930,0
19772931,0
19772932,0
19772933,1
19772934,0
19772935,0
19772936,0
19772937,0
19772938,6
19772939,2
19772940,0
19772941,0
19772942,6
19772943,1
19772944,1
19772945,0
19772946,1
19772947,0
19772948,0
19772949,0
19772950,6
19772951,1
19772952,0
19772953,0
19772954,0
19772955,0
19772956,0
19772957,0
19772958,6
19772959,0
19772960,0
19772961,1
19772962,0
19772963,0
19772964,0
19772965,1
19772966,0
19772967,6
19772968,6
19772969,0
19772970,"1, 1"
19772971,0
19772972,0
19772973,0
19772974,0
19772975,0
19772976,0
19772977,0
19772978,0
19772979,0
19772980,2
19772981,6
19772982,0
19772983,1
19772984,0
19772985,0
19772986,0
19772987,0
19772988,"1, 1"
19772989,0
19772990,0
19772991,6
19772992,0
19772993,6
19772994,6
19772995,0
19772996,0
19772997,0
19772998,1
19772999,0
19773000,0
19773001,0
19773002,1
19773003,0
19773004,0
19773005,6
19773006,0
19773007,0
19773008,0
19773009,0
19773010,0
19773011,0
19773012,0
19773013,0
19773014,0
19773015,6
19773016,0
19773017,"1, 1"
19773018,6
19773019,6
19773020,1
19773021,0
19773022,2
19773023,1
19773024,1
19773025,0
19773026,0
19773027,1
19773028,0
19773029,0
19773030,0
19773031,0
19773032,0
19773033,6
19773034,0
19773035,0
19773036,0
19773037,1
19773038,0
19773039,6
19773040,0
19773041,0
19773042,0
19773043,0
19773044,1
19773045,1
19773046,0
19773047,0
19773048,6
19773049,0
19773050,"1, 1"
19773051,0
19773052,0
19773053,0
19773054,0
19773055,0
19773056,6
19773057,0
19773058,0
19773059,1
19773060,1
19773061,0
19773062,6
19773063,2
19773064,0
19773065,6
19773066,0
19773067,6
19773068,0
19773069,"1, 1"
19773070,0
19773071,0
19773072,1
19773073,0
19773074,0
19773075,6
19773076,6
19773077,0
19773078,0
19773079,0
19773080,0
19773081,0
19773082,1
19773083,0
19773084,0
19773085,0
19773086,6
19773087,0
19773088,6
19773089,0
19773090,1
19773091,0
19773092,1
19773093,0
19773094,0
19773095,0
19773096,0
19773097,0
19773098,6
19773099,"2, 1, 1"
19773100,0
19773101,0
19773102,0
19773103,1
19773104,6
19773105,0
19773106,6
19773107,1
19773108,0
19773109,0
19773110,1
19773111,0
19773112,6
19773113,1
19773114,0
19773115,0
19773116,0
19773117,6
19773118,0
19773119,0
19773120,0
19773121,0
19773122,1
19773123,0
19773124,0
19773125,0
19773126,0
19773127,0
19773128,6
19773129,0
19773130,6
19773131,"1, 1"
19773132,0
19773133,0
19773134,0
19773135,"1, 2"
19773136,0
19773137,0
19773138,0
19773139,0
19773140,6
19773141,0
19773142,0
19773143,0
19773144,6
19773145,0
19773146,1
19773147,0
19773148,0
19773149,1
19773150,1
19773151,6
19773152,0
19773153,0
19773154,1
19773155,0
19773156,0
19773157,1
19773158,0
19773159,6
19773160,0
19773161,0
19773162,0
19773163,6
19773164,0
19773165,6
19773166,0
19773167,0
19773168,0
19773169,0
19773170,0
19773171,0
19773172,0
19773173,0
19773174,0
19773175,0
19773176,1
19773177,0
19773178,6
19773179,0
19773180,"2, 1, 1"
19773181,1
19773182,0
19773183,0
19773184,0
19773185,6
19773186,6
19773187,0
19773188,0
19773189,1
19773190,0
19773191,0
19773192,0
19773193,0
19773194,6
19773195,0
19773196,0
19773197,"1, 1"
19773198,0
19773199,0
19773200,0
19773201,0
19773202,0
19773203,0
19773204,6
19773205,1
19773206,0
19773207,0
19773208,6
19773209,1
19773210,0
19773211,6
19773212,1
19773213,1
19773214,0
19773215,1
19773216,0
19773217,2
19773218,0
19773219,6
19773220,1
19773221,0
19773222,0
19773223,0
19773224,0
19773225,0
19773226,0
19773227,1
19773228,0
19773229,0
19773230,0
19773231,0
19773232,0
19773233,6
19773234,6
19773235,1
19773236,0
19773237,6
19773238,"1, 1"
19773239,6
19773240,0
19773241,0
19773242,0
19773243,0
19773244,0
19773245,0
19773246,0
19773247,"1, 1"
19773248,0
19773249,0
19773250,1
19773251,0
19773252,6
19773253,1
19773254,0
19773255,1
19773256,0
19773257,6
19773258,2
19773259,1
19773260,6
19773261,0
19773262,0
19773263,0
19773264,0
19773265,6
19773266,0
19773267,1
19773268,0
19773269,0
19773270,0
19773271,1
19773272,0
19773273,1
19773274,0
19773275,0
19773276,0
19773277,0
19773278,6
19773279,1
19773280,0
19773281,0
19773282,6
19773283,6
19773284,0
19773285,1
19773286,0
19773287,0
19773288,0
19773289,0
19773290,1
19773291,6
19773292,0
19773293,0
19773294,6
19773295,"1, 2, 1"
19773296,0
19773297,0
19773298,0
19773299,1
19773300,0
19773301,0
19773302,0
19773303,0
19773304,0
19773305,6
19773306,1
19773307,6
19773308,0
19773309,0
19773310,0
19773311,0
19773312,0
19773313,0
19773314,0
19773315,1
19773316,6
19773317,0
19773318,0
19773319,6
19773320,0
19773321,0
19773322,0
19773323,0
19773324,0
19773325,0
19773326,1
19773327,0
19773328,1
19773329,6
19773330,1
19773331,0
19773332,6
19773333,0
19773334,0
19773335,"1, 2, 1"
19773336,0
19773337,0
19773338,1
19773339,1
19773340,0
19773341,0
19773342,0
19773343,0
19773344,6
19773345,0
19773346,0
19773347,0
19773348,0
19773349,6
19773350,6
19773351,"1, 1"
19773352,1
19773353,6
19773354,0
19773355,6
19773356,1
19773357,0
19773358,0
19773359,0
19773360,0
19773361,0
19773362,0
19773363,1
19773364,0
19773365,0
19773366,6
19773367,0
19773368,2
19773369,0
19773370,6
19773371,1
19773372,0
19773373,"1, 1"
19773374,0
19773375,1
19773376,1
19773377,6
19773378,6
19773379,0
19773380,0
19773381,0
19773382,0
19773383,0
19773384,0
19773385,1
19773386,0
19773387,0
19773388,6
19773389,0
19773390,0
19773391,0
19773392,0
19773393,1
19773394,0
19773395,1
19773396,0
19773397,2
19773398,0
19773399,6
19773400,0
19773401,6
19773402,6
19773403,0
19773404,1
19773405,0
19773406,0
19773407,0
19773408,6
19773409,1
19773410,1
19773411,1
19773412,0
19773413,0
19773414,0
19773415,1
19773416,0
19773417,0
19773418,"1, 1"
19773419,6
19773420,1
19773421,0
19773422,0
19773423,6
19773424,6
19773425,0
19773426,0
19773427,0
19773428,6
19773429,1
19773430,2
19773431,0
19773432,0
19773433,6
19773434,0
19773435,1
19773436,0
19773437,0
19773438,0
19773439,0
19773440,"1, 1"
19773441,0
19773442,6
19773443,0
19773444,0
19773445,1
19773446,0
19773447,0
19773448,0
19773449,0
19773450,6
19773451,0
19773452,6
19773453,0
19773454,0
19773455,6
19773456,0
19773457,0
19773458,0
19773459,6
19773460,0
19773461,1
19773462,0
19773463,0
19773464,"1, 2, 1, 1"
19773465,0
19773466,0
19773467,0
19773468,0
19773469,6
19773470,0
19773471,0
19773472,0
19773473,6
19773474,6
19773475,0
19773476,1
19773477,1
19773478,0
19773479,6
19773480,1
19773481,0
19773482,6
19773483,0
19773484,0
19773485,0
19773486,"1, 1"
19773487,6
19773488,1
19773489,1
19773490,0
19773491,0
19773492,0
19773493,0
19773494,0
19773495,0
19773496,0
19773497,6
19773498,0
19773499,"2, 1"
19773500,1
19773501,0
19773502,0
19773503,6
19773504,0
19773505,0
19773506,0
19773507,6
19773508,6
19773509,"1, 1"
19773510,0
19773511,0
19773512,0
19773513,0
19773514,0
19773515,0
19773516,6
19773517,6
19773518,1
19773519,0
19773520,1
19773521,0
19773522,0
19773523,6
19773524,0
19773525,1
19773526,6
19773527,0
19773528,0
19773529,0
19773530,0
19773531,2
19773532,6
19773533,0
19773534,"1, 1"
19773535,"1, 1"
19773536,1
19773537,0
19773538,0
19773539,6
19773540,6
19773541,0
19773542,1
19773543,1
19773544,1
19773545,1
19773546,0
19773547,0
19773548,0
19773549,0
19773550,6
19773551,0
19773552,"1, 1, 1, 1"
19773553,6
19773554,"1, 1, 1"
19773555,"1, 1"
19773556,1
19773557,6
19773558,"1, 1, 1"
19773559,0
19773560,"2, 1, 1, 1"
19773561,"1, 1"
19773562,6
19773563,1
19773564,"1, 1"
19773565,"1, 1"
19773566,0
19773567,0
19773568,"1, 1"
19773569,6
19773570,0
19773571,0
19773572,"1, 1, 1"
19773573,0
19773574,"1, 1, 1"
19773575,"1, 1"
19773576,0
19773577,"1, 1"
19773578,0
19773579,6
19773580,0
19773581,0
19773582,6
19773583,6
19773584,0
19773585,6
19773586,6
19773587,"1, 1, 1"
19773588,0
19773589,0
19773590,"2, 1, 1, 1"
19773591,1
19773592,0
19773593,"1, 1"
19773594,6
19773595,0
19773596,0
19773597,"1, 1, 1"
19773598,"1, 1"
19773599,"1, 1"
19773600,"1, 1"
19773601,0
19773602,0
19773603,"1, 1, 1"
19773604,6
19773605,0
19773606,6
19773607,6
19773608,"1, 1, 1"
19773609,0
19773610,"1, 1, 1"
19773611,0
19773612,0
19773613,6
19773614,0
19773615,0
19773616,"1, 1"
19773617,0
19773618,0
19773619,"1, 1, 1"
19773620,"2, 1, 1"
19773621,1
19773622,0
19773623,"1, 1"
19773624,6
19773625,"1, 1, 1, 1"
19773626,1
19773627,"1, 1"
19773628,0
19773629,6
19773630,0
19773631,0
19773632,0
19773633,0
19773634,6
19773635,0
19773636,0
19773637,"1, 1, 1"
19773638,6
19773639,"1, 1"
19773640,"1, 1"
19773641,6
19773642,0
19773643,"1, 1, 1, 1"
19773644,0
19773645,"1, 1, 1"
19773646,0
19773647,6
19773648,"1, 1, 1"
19773649,6
19773650,"1, 1, 1"
19773651,0
19773652,0
19773653,0
19773654,"2, 1, 1"
19773655,6
19773656,"1, 1"
19773657,0
19773658,0
19773659,6
19773660,0
19773661,0
19773662,"1, 1, 1"
19773663,1
19773664,6
19773665,0
19773666,0
19773667,1
19773668,0
19773669,0
19773670,0
19773671,6
19773672,0
19773673,0
19773674,1
19773675,0
19773676,0
19773677,0
19773678,6
19773679,0
19773680,6
19773681,0
19773682,"1, 1, 1"
19773683,"2, 1, 1"
19773684,6
19773685,"1, 1, 1"
19773686,0
19773687,0
19773688,0
19773689,0
19773690,1
19773691,0
19773692,0
19773693,6
19773694,6
19773695,0
19773696,0
19773697,6
19773698,"1, 1, 1, 1, 1"
19773699,0
19773700,0
19773701,0
19773702,0
19773703,6
19773704,0
19773705,0
19773706,0
19773707,0
19773708,6
19773709,"2, 1, 1, 1"
19773710,0
19773711,0
19773712,"1, 1, 1, 1"
19773713,0
19773714,0
19773715,6
19773716,0
19773717,0
19773718,0
19773719,0
19773720,6
19773721,0
19773722,6
19773723,0
19773724,6
19773725,6
19773726,6
19773727,6
19773728,0
19773729,0
19773730,0
19773731,"1, 1, 1, 1"
19773732,1
19773733,0
19773734,6
19773735,0
19773736,1
19773737,"1, 1, 1"
19773738,0
19773739,"2, 1"
19773740,0
19773741,6
19773742,0
19773743,0
19773744,0
19773745,0
19773746,0
19773747,0
19773748,0
19773749,6
19773750,0
19773751,6
